noise,success_rate,successes,failures,attempted,duration
0,65,65,35,100,1044
0.005,67,67,33,100,
0.01,67,67,33,100,1116
0.015,61,61,39,100,
0.02,62,62,38,100,1188
0.025,65,65,35,100,
0.03,65,65,35,100,1080
0.035,54,54,46,100,
0.04,57,57,43,100,
0.045,55,55,45,100,
0.05,62,62,38,100,1116
0.075,62,62,38,100,
0.1,58,58,42,100,1116
0.125,41,41,59,100,
0.15,28,28,72,100,1116
0.175,28,28,72,100,
0.2,24,24,76,100,
0.225,17,17,83,100,
0.25,6,6,94,100,1116
0.275,3,3,97,100,
0.3,2,2,98,100,
1,0,0,100,100,972
0.325,2,2,98,100,
0.35,1,1,99,100,
0.375,1,1,99,100,
0.4,0,0,100,100,
0.425,0,0,100,100,
0.45,0,0,100,100,
0.475,0,0,100,100,
0.5,0,0,100,100,1080
