noise,success_rate,successes,failures,attempted,duration
0,52,52,48,100,2916
0.005,53,53,47,100,
0.01,51,51,49,100,2844
0.015,52,52,48,100,
0.02,51,51,49,100,2916
0.025,52,52,48,100,
0.03,50,50,50,100,2772
0.035,50,50,50,100,
0.04,46,46,54,100,
0.045,51,51,49,100,
0.05,46,46,54,100,2916
0.075,49,49,51,100,
0.1,33,33,67,100,2916
0.125,50,50,50,100,
0.15,41,41,59,100,2952
0.175,31,31,69,100,
0.2,25,25,75,100,
0.225,26,26,74,100,
0.25,10,10,90,100,2916
0.275,13,13,87,100,
0.3,10,10,90,100,
1,0,0,100,100,2880
0.325,5,5,95,100,
0.35,7,7,93,100,
0.375,0,0,100,100,
0.4,5,5,95,100,
0.425,0,0,100,100,
0.45,0,0,100,100,
0.475,0,0,100,100,
0.5,0,0,100,100,3024
