noise,success_rate,successes,failures,attempted,duration
0,53,53,47,100,1440
0.005,51,51,49,100,
0.01,55,55,45,100,1368
0.015,51,51,49,100,
0.02,51,51,49,100,1476
0.025,55,55,45,100,
0.03,52,52,48,100,1440
0.035,47,47,53,100,
0.04,50,50,50,100,
0.045,52,52,48,100,
0.05,56,56,44,100,1404
0.075,51,51,49,100,
0.1,54,54,46,100,1368
0.125,33,33,67,100,
0.15,33,33,67,100,1404
0.175,31,31,69,100,
0.2,19,19,81,100,
0.225,20,20,80,100,
0.25,8,8,92,100,1295
0.275,7,7,93,100,
0.3,7,7,93,100,
1,0,0,100,100,1260
0.325,0,0,100,100,
0.35,3,3,97,100,
0.375,3,3,97,100,
0.4,0,0,100,100,
0.425,0,0,100,100,
0.45,0,0,100,100,
0.475,0,0,100,100,
0.5,0,0,100,100,1440
