noise,success_rate,successes,failures,attempted,duration
0,42,42,58,100,612
0.005,43,43,57,100,
0.01,41,41,59,100,612
0.015,41,41,59,100,
0.02,44,44,56,100,612
0.025,42,42,58,100,
0.03,45,45,55,100,612
0.035,42,42,58,100,
0.04,45,45,55,100,
0.045,42,42,58,100,
0.05,42,42,58,100,612
0.075,37,37,63,100,
0.1,38,38,62,100,684
0.125,31,31,69,100,
0.15,28,28,72,100,612
0.175,34,34,66,100,
0.2,24,24,76,100,
0.225,32,32,68,100,
0.25,25,25,75,100,684
0.275,21,21,79,100,
0.3,12,12,88,100,
1,0,0,100,100,648
0.325,11,11,89,100,
0.35,3,3,97,100,
0.375,7,7,93,100,
0.4,4,4,96,100,
0.425,6,6,94,100,
0.45,6,6,94,100,
0.475,3,3,97,100,
0.5,0,0,100,100,720
