noise,success_rate,successes,failures,attempted,duration
0,68,68,32,100,792
0.005,67,67,33,100,
0.01,65,65,35,100,828
0.015,74,74,26,100,
0.02,66,66,34,100,936
0.025,74,74,26,100,
0.03,71,71,29,100,864
0.035,72,72,28,100,
0.04,70,70,30,100,
0.045,64,64,36,100,
0.05,63,63,37,100,936
0.075,72,72,28,100,
0.1,62,62,38,100,828
0.125,55,55,45,100,
0.15,43,43,57,100,792
0.175,45,45,55,100,
0.2,34,34,66,100,
0.225,20,20,80,100,
0.25,21,21,79,100,828
0.275,18,18,82,100,
0.3,10,10,90,100,
1,0,0,100,100,828
0.325,7,7,93,100,
0.35,4,4,96,100,
0.375,2,2,98,100,
0.4,4,4,96,100,
0.425,6,6,94,100,
0.45,6,6,94,100,
0.475,3,3,97,100,
0.5,0,0,100,100,828
