noise,success_rate,successes,failures,attempted,duration
0,23,23,77,100,1800
0.005,25,25,75,100,
0.01,27,27,73,100,2016
0.015,27,27,73,100,
0.02,22,22,78,100,1944
0.025,22,22,78,100,
0.03,26,26,74,100,1872
0.035,28,28,72,100,
0.04,28,28,72,100,
0.045,24,24,76,100,
0.05,24,24,76,100,1836
0.075,21,21,79,100,
0.1,22,22,78,100,1980
0.125,23,23,77,100,
0.15,10,10,90,100,1944
0.175,17,17,83,100,
0.2,11,11,89,100,
0.225,9,9,91,100,
0.25,4,4,96,100,1908
0.275,4,4,96,100,
0.3,1,1,99,100,
1,0,0,100,100,1800
0.325,4,4,96,100,
0.35,3,3,97,100,
0.375,2,2,98,100,
0.4,0,0,100,100,
0.425,0,0,100,100,
0.45,1,1,99,100,
0.475,1,1,99,100,
0.5,0,0,100,100,1872
